year,region,cancer,smoking
2011,Alabama,0.083626429,24.3
2011,Alaska,0.048428629,22.9
2011,Arizona,0.059655215,19.3
2011,Arkansas,0.09151238,27
2011,California,0.044289783,13.7
2011,Colorado,0.04335373,18.3
2011,Connecticut,0.073818356,17.1
2011,Delaware,0.089985505,21.8
2011,District of Columbia,0.054313053,20.8
2011,Florida,0.085888052,19.3
2011,Georgia,0.064107725,21.2
2011,Hawaii,0.055520719,16.8
2011,Idaho,0.054351154,17.2
2011,Illinois,0.072915951,20.9
2011,Indiana,0.082605947,25.6
2011,Iowa,0.077253759,20.4
2011,Kansas,0.069140893,22
2011,Kentucky,0.108826156,29
2011,Louisiana,0.07511905,25.7
2011,Maine,0.092604374,22.8
2011,Maryland,0.063094635,19.1
2011,Massachusetts,0.075968822,18.2
2011,Michigan,0.080719199,23.3
2011,Minnesota,0.058763458,19.1
2011,Mississippi,0.082231927,26
2011,Missouri,0.088292295,25
2011,Montana,0.074161598,22.1
2011,Nebraska,0.064105243,20
2011,Nevada,0.064266241,22.9
2011,New Hampshire,0.082823084,19.4
2011,New Jersey,0.06767148,16.8
2011,New Mexico,0.047070012,21.5
2011,New York,0.070657443,18.1
2011,North Carolina,0.077608836,21.8
2011,North Dakota,0.070170217,21.9
2011,Ohio,0.085007792,25.1
2011,Oklahoma,0.081636987,26.1
2011,Oregon,0.072052163,19.7
2011,Pennsylvania,0.084382868,22.4
2011,Rhode Island,0.077913366,20
2011,South Carolina,0.079526828,23.1
2011,South Dakota,0.067443152,23
2011,Tennessee,0.087391683,23
2011,Texas,0.049979746,19.2
2011,Utah,0.023294429,11.8
2011,Vermont,0.084087247,19.1
2011,Virginia,0.063772844,20.9
2011,Washington,0.062953278,17.5
2011,West Virginia,0.109759069,28.6
2011,Wisconsin,0.072438893,20.9
2011,Wyoming,0.050200361,23
2012,Alabama,0.083680097,23.8
2012,Alaska,0.04677953,20.5
2012,Arizona,0.058522354,17.1
2012,Arkansas,0.092215875,25
2012,California,0.04440548,12.6
2012,Colorado,0.044798836,17.7
2012,Connecticut,0.074211245,16
2012,Delaware,0.084188211,19.7
